Year,Month,Day,Sub_site,Lat,Long,Observer,Transect_type,Transect_number,Transect_section,Depth_m,Genusspecies,Frequency,Size_cm,Data_type,Comment
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,Bedrock_1_m,25,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,0_10cm,2,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,Cobble_10cm,4,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,2m,3,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,1m_2m,13,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,Boulder_10_cm_1_m,1,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,10cm_1m,12,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,Bare_rock,7,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,Bare_sand,8,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,Crustose_coralline_algae,3,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,shell_debris,4,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,1,NA,10,Encrusting_red,1,,ecological_monitoring,
2021,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,1,NA,10,Macrocystis_holdfast_live,1,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,10,Bedrock_1_m,27,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,16.5,Boulder_10_cm_1_m,3,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,16.5,0_10cm,6,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,16.5,10cm_1m,24,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,16.5,Bare_rock,11,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,16.5,Bare_sand,10,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,16.5,Dead_kelp_holdfast_any,1,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,16.5,Articulated_coralline_algae,1,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,16.5,Leaf_blade_unbranched,3,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,16.5,Lacy_filamentous_dense,1,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_1,,,daniel_diaz,upc,2,NA,16.5,sponge,3,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,Bedrock_1_m,27,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,Cobble_10cm,1,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,sand,2,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,0_10cm,13,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,10cm_1m,10,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,1m_2m,8,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,2m,1,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,Bare_rock,20,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,Bare_sand,3,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,Crustose_coralline_algae,1,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,Articulated_coralline_algae,1,,ecological_monitoring,
